Localidades;Períodos;Auxiliares de Enfermagem Registrados no COREN/SP ;Auxiliares de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes);Dentistas Registrados no CRO/SP ;Dentistas Registrados no CRO/SP (Coeficiente por dois mil habitantes);Enfermeiros Registrados no COREN/SP ;Enfermeiros Registrados no COREN/SP (Coeficiente por mil habitantes);Fonoaudiólogos registrados no CRFa/SP ;Fonoaudiólogos registrados no CRFa/SP (Coeficiente por mil habitantes);Médicos Registrados no CRM/SP ;Médicos Registrados no CRM/SP (Coeficiente por mil habitantes);Psicólogos Registrados no CRP  6ª Região [Série interrompida] ;Psicólogos Registrados no CRP  6ª Região (Coeficiente por mil habitantes) [Série interrompida] (Coeficiente por mil habitantes);Técnicos de Enfermagem Registrados no COREN/SP ;Técnicos de Enfermagem Registrados no COREN/SP (Coeficiente por mil habitantes);Técnicos de Prótese Dentária Registrados no CRO/SP ;Técnicos de Prótese Dentária Registrados no CRO/SP (Coeficiente por dois mil habitantes);Cód. IBGE
Lucianópolis;2019;12;5.31;4;3.54;6;2.66;;;1;0.44;;;7;3.1;;;3527504
Luís Antônio;2019;43;3.09;12;1.73;15;1.08;2;0.14;2;0.14;;;35;2.52;1;0.14;3527603
Luiziânia;2019;19;3.35;4;1.41;8;1.41;;;4;0.7;;;19;3.35;;;3527702
Lupércio;2019;13;2.95;4;1.81;4;0.91;;;2;0.45;;;12;2.72;;;3527801
Lutécia;2019;5;1.9;2;1.52;10;3.8;2;0.76;;;;;7;2.66;1;0.76;3527900
Macatuba;2019;44;2.61;22;2.61;23;1.36;3;0.18;11;0.65;;;71;4.21;1;0.12;3528007
Macaubal;2019;21;2.71;18;4.65;19;2.45;2;0.26;8;1.03;;;27;3.49;;;3528106
Macedônia;2019;7;1.95;7;3.91;21;5.86;3;0.84;5;1.4;;;19;5.3;;;3528205
Magda;2019;4;1.29;7;4.52;7;2.26;3;0.97;;;;;9;2.9;;;3528304
Mairinque;2019;119;2.59;43;1.87;85;1.85;3;0.07;22;0.48;;;268;5.82;1;0.04;3528403
Mairiporã;2019;462;4.77;192;3.96;242;2.5;8;0.08;132;1.36;;;229;2.36;12;0.25;3528502
Manduri;2019;38;4.01;6;1.27;14;1.48;;;2;0.21;;;9;0.95;;;3528601
Marabá Paulista;2019;16;3.25;;;3;0.61;;;;;;;;;;;3528700
Maracaí;2019;81;6;6;0.89;19;1.41;1;0.07;6;0.44;;;30;2.22;1;0.15;3528809
Marapoama;2019;12;4.17;6;4.17;4;1.39;1;0.35;;;;;6;2.08;;;3528858
Mariápolis;2019;12;3.02;1;0.5;6;1.51;;;;;;;2;0.5;;;3528908
Marília;2019;1426;6.2;694;6.03;952;4.14;137;0.6;1296;5.63;;;1102;4.79;35;0.3;3529005
Marinópolis;2019;2;0.95;2;1.91;7;3.34;1;0.48;2;0.95;;;11;5.24;;;3529104
Martinópolis;2019;142;5.56;36;2.82;42;1.65;4;0.16;25;0.98;;;68;2.66;4;0.31;3529203
Matão;2019;312;3.91;153;3.84;145;1.82;31;0.39;135;1.69;;;299;3.75;16;0.4;3529302
Mauá;2019;3117;6.84;303;1.33;1262;2.77;30;0.07;109;0.24;;;2618;5.74;43;0.19;3529401
Mendonça;2019;20;4;5;2;8;1.6;3;0.6;3;0.6;;;39;7.79;;;3529500
Meridiano;2019;9;2.4;6;3.2;19;5.07;2;0.53;2;0.53;;;33;8.8;;;3529609
Mesópolis;2019;;;1;1.06;1;0.53;1;0.53;;;;;10;5.29;;;3529658
Miguelópolis;2019;15;0.7;44;4.13;39;1.83;5;0.23;40;1.88;;;127;5.95;1;0.09;3529708
Mineiros do Tietê;2019;23;1.83;12;1.91;17;1.36;3;0.24;5;0.4;;;94;7.49;2;0.32;3529807
Mira Estrela;2019;6;2.05;3;2.05;8;2.73;3;1.02;2;0.68;;;18;6.15;;;3530003
Miracatu;2019;29;1.45;7;0.7;26;1.3;1;0.05;5;0.25;;;52;2.61;;;3529906
Mirandópolis;2019;104;3.64;53;3.71;64;2.24;5;0.18;37;1.3;;;57;2;3;0.21;3530102
Mirante do Paranapanema;2019;46;2.6;21;2.37;23;1.3;2;0.11;25;1.41;;;22;1.24;1;0.11;3530201
