Localidades;Períodos;Frota de Veículos  Total ;Número de Habitantes por Total de Veículos ;Frota de Automóveis ;Número de Habitantes por Automóvel ;Frota de Ônibus ;Frota de Caminhões ;Frota de Reboques ;Frota de Motocicletas e Assemelhados ;Frota de Microônibus e Camionetas ;Frota de Veículos de Outro Tipo ;Cód. IBGE
Jandira;2020;60486;2.04;38506;3.21;184;1543;679;12358;7195;21;3525003
Jardinópolis;2020;26546;1.62;14990;2.86;167;1426;1049;5468;3443;3;3525102
Jarinu;2020;21260;1.4;12765;2.34;65;765;378;4347;2935;5;3525201
Jaú;2020;108452;1.36;60287;2.45;528;3111;2569;29220;12689;48;3525300
Jeriquara;2020;1814;1.73;1123;2.8;21;96;67;219;286;2;3525409
Joanópolis;2020;10490;1.21;5644;2.24;24;488;149;2728;1454;3;3525508
João Ramalho;2020;2049;2.14;1307;3.35;40;44;45;346;266;1;3525607
José Bonifácio;2020;30781;1.17;14454;2.49;176;1381;1869;9243;3650;8;3525706
Júlio Mesquita;2020;1862;2.49;1245;3.73;32;64;79;221;221;;3525805
Jumirim;2020;1772;1.87;1042;3.17;8;142;58;215;303;4;3525854
Jundiaí;2020;337668;1.21;218773;1.86;1240;10871;7876;53680;45018;210;3525904
Junqueirópolis;2020;13616;1.47;7394;2.71;237;722;705;3000;1556;2;3526001
Juquiá;2020;8141;2.31;4498;4.19;56;537;244;1804;994;8;3526100
Juquitiba;2020;17390;1.75;10569;2.88;120;830;311;2967;2578;15;3526209
Lagoinha;2020;3968;1.21;1872;2.57;27;181;43;1288;556;1;3526308
Laranjal Paulista;2020;19421;1.43;11298;2.46;284;985;593;3459;2798;4;3526407
Lavínia;2020;2864;2.97;1539;5.52;20;107;138;678;382;;3526506
Lavrinhas;2020;3462;2.07;2088;3.43;14;109;55;817;377;2;3526605
Leme;2020;75224;1.34;38161;2.65;616;3162;1618;22931;8705;31;3526704
Lençóis Paulista;2020;50752;1.31;28498;2.33;393;2062;1975;11888;5908;28;3526803
Limeira;2020;228677;1.3;134757;2.2;852;7417;6625;50975;28005;46;3526902
Lindóia;2020;5503;1.4;3203;2.41;31;236;83;1234;715;1;3527009
Lins;2020;61907;1.21;32564;2.31;211;2702;4417;16485;5494;34;3527108
Lorena;2020;49116;1.76;29262;2.96;58;1190;723;12342;5522;19;3527207
Lourdes;2020;1168;1.87;673;3.24;16;23;26;298;132;;3527256
Louveira;2020;33843;1.43;19329;2.5;101;1574;628;7921;4283;7;3527306
Lucélia;2020;13297;1.58;7455;2.82;216;624;672;3005;1324;1;3527405
Lucianópolis;2020;1347;1.68;839;2.69;24;65;32;141;246;;3527504
Luís Antônio;2020;7402;1.91;4456;3.18;229;418;444;923;928;4;3527603
Luiziânia;2020;2331;2.47;1368;4.21;41;92;78;478;274;;3527702
