"Localidades";"Períodos";"PIB (Em mil reais correntes)";"PIB per Capita (Em reais correntes)";"Participação no PIB do Estado (Em %)";"Cód. IBGE"
"Natividade da Serra";"2018";"72475,7";"10833,44";"0,003279";3532306
"Nazaré Paulista";"2018";"342174,81";"18966,51";"0,015479";3532405
"Neves Paulista";"2018";"212414,12";"24531,02";"0,009609";3532504
"Nhandeara";"2018";"324396,87";"30072,95";"0,014675";3532603
"Nipoã";"2018";"93953,48";"19399,85";"0,00425";3532702
"Nova Aliança";"2018";"173291,57";"27324,44";"0,007839";3532801
"Nova Campina";"2018";"110154,38";"11687,47";"0,004983";3532827
"Nova Canaã Paulista";"2018";"39531,34";"20066,67";"0,001788";3532843
"Nova Castilho";"2018";"40619,51";"34806,78";"0,001838";3532868
"Nova Europa";"2018";"280666,46";"26824,66";"0,012697";3532900
"Nova Granada";"2018";"434208,29";"21100,61";"0,019642";3533007
"Nova Guataporanga";"2018";"31233,79";"14268,52";"0,001413";3533106
"Nova Independência";"2018";"141263,92";"39163,83";"0,00639";3533205
"Nova Luzitânia";"2018";"49833,72";"12661,01";"0,002254";3533304
"Nova Odessa";"2018";"3540518,94";"62369,32";"0,160164";3533403
"Novais";"2018";"58245";"10909,35";"0,002635";3533254
"Novo Horizonte";"2018";"1094926,57";"28436,7";"0,049532";3533502
"Nuporanga";"2018";"520862,02";"72513,16";"0,023562";3533601
"Ocauçu";"2018";"115923,5";"27946,84";"0,005244";3533700
"Óleo";"2018";"83150,53";"32608,05";"0,003762";3533809
"Olímpia";"2018";"2034078,14";"39075,56";"0,092016";3533908
"Onda Verde";"2018";"165638,12";"39826,43";"0,007493";3534005
"Oriente";"2018";"99538,28";"15974,69";"0,004503";3534104
"Orindiúva";"2018";"404173,43";"60869,49";"0,018284";3534203
"Orlândia";"2018";"1834997,25";"43898,41";"0,08301";3534302
"Osasco";"2018";"76609046,35";"113034,37";"3,465591";3534401
"Oscar Bressane";"2018";"90810,61";"36064,58";"0,004108";3534500
"Osvaldo Cruz";"2018";"849328,95";"27213,36";"0,038421";3534609
"Ourinhos";"2018";"3069407,07";"28148,59";"0,138852";3534708
"Ouro Verde";"2018";"112329,21";"13742,26";"0,005081";3534807
"Ouroeste";"2018";"421588,73";"44307,8";"0,019072";3534757
