"Localidades";"Períodos";"Rendimento Médio do Total de Empregos Formais (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Indústria (Em reais correntes)";"Rendimento Médio dos Empregos Formais da Construção (Em reais correntes)";"Rendimento Médio dos Empregos Formais do Comércio Atacadista e Varejista e do Comércio e Reparação de Veículos Automotores e Motocicletas (Em reais correntes)";"Rendimento Médio dos Empregos Formais dos Serviços (Em reais correntes)";"Cód. IBGE"
"Ibaté";"2018";"2515,36";"1925,44";"3179,2";"2099,6";"1754,25";"2488,98";3519303
"Ibirá";"2018";"2123,37";"2301,38";"2206,84";"1678,68";"1597,5";"2378,14";3519402
"Ibirarema";"2018";"2270,61";"2147,83";"2550,03";"1420";"1779,5";"2448,21";3519501
"Ibitinga";"2018";"1875,11";"1700,77";"1662,66";"3171,67";"1752,86";"2305,95";3519600
"Ibiúna";"2018";"2205,95";"1402,06";"3401,52";"2385,04";"1720,12";"2503,64";3519709
"Icém";"2018";"2419,99";"1974,73";"3109,73";"-";"1609,98";"2493,59";3519808
"Iepê";"2018";"2328,57";"1834,73";"1971,02";"4746,82";"1928,79";"2552,47";3519907
"Igarapava";"2018";"2572,79";"1989,18";"3038,37";"2106,06";"1728,19";"2836,73";3520103
"Igaratá";"2018";"2002,46";"1358,08";"2409,68";"1744,65";"1732,34";"2048,15";3520202
"Igaraçu do Tietê";"2018";"2004,99";"1600,1";"2263,19";"1517,62";"1743,45";"2179,89";3520004
"Iguape";"2018";"2081,1";"1376,72";"2576,12";"1559,89";"1532,84";"2414,99";3520301
"Ilha Comprida";"2018";"2565,1";"-";"2563,06";"1534";"1699,59";"3008,53";3520426
"Ilha Solteira";"2018";"3262,11";"2046,36";"2374,62";"3636,41";"1916,99";"3902,04";3520442
"Ilhabela";"2018";"2720,34";"1755,74";"3824,35";"3037,49";"1767,92";"2983,07";3520400
"Indaiatuba";"2018";"3439,53";"2359,37";"4623,04";"2266,49";"2432,62";"3111,03";3520509
"Indiana";"2018";"1784,21";"1639,11";"1456,34";"1976,21";"1844,37";"1958,39";3520608
